id_ticket,fec_apertura,id_cli,cat_incid,prio,st_cod,canal_orig,reg,hrs_res,nps
5001,2026-01-05,120,Entrega,Media,1,Web,CL,37.1,2
5002,2026-01-08,115,Entrega,Media,2,Tienda,MX,57.3,2
5003,2026-01-09,110,Producto,Alta,3,Web,AR,68.9,1
5004,2026-01-12,115,Producto,Baja,4,Tienda,CL,66.8,5
5005,2026-01-11,120,Facturación,Baja,5,Web,MX,34.1,1
5006,2026-01-15,125,Devolución,Alta,1,Web,CL,5.6,5
5007,2026-01-15,105,Devolución,Alta,2,Tienda,CL,26.6,4
5008,2026-01-16,107,Entrega,Baja,3,Marketplace,MX,51.7,1
5009,2026-01-20,101,Facturación,Alta,4,Marketplace,AR,44.0,5
5010,2026-01-22,103,Entrega,Media,5,Web,AR,24.3,3
5011,2026-01-21,130,Técnico,Crítica,1,Web,CL,27.3,5
5012,2026-01-23,110,Facturación,Alta,2,Web,AR,63.6,4
5013,2026-01-27,125,Producto,Baja,3,Web,CL,29.6,1
5014,2026-01-28,101,Producto,Media,4,Marketplace,AR,,4
5015,2026-01-28,130,Técnico,Alta,5,Tienda,AR,4.0,5
5016,2026-01-30,107,Cuenta,Media,1,Tienda,CL,63.5,4
5017,2026-01-31,110,Facturación,Alta,2,Marketplace,AR,10.5,4
5018,2026-02-03,104,Técnico,Alta,3,Tienda,AR,18.4,4
5019,2026-02-04,120,Facturación,Crítica,4,Web,AR,28.9,4
5020,2026-02-07,130,Facturación,Media,5,Marketplace,AR,39.0,4
5021,2026-02-07,109,Técnico,Baja,1,Marketplace,MX,14.9,1
5022,2026-02-09,102,Técnico,Baja,2,Web,CL,62.3,5
5023,2026-02-12,115,Producto,Alta,3,Marketplace,MX,3.5,3
5024,2026-02-13,108,Producto,Alta,4,Tienda,MX,43.5,3
5025,2026-02-16,103,Producto,Alta,5,Web,CL,14.1,3
5026,2026-02-17,108,Cuenta,Media,1,Web,MX,5.9,4
5027,2026-02-19,101,Facturación,Crítica,2,Web,AR,34.2,4
5028,2026-02-21,125,Devolución,Media,3,Marketplace,CL,,5
5029,2026-02-21,100,Devolución,Baja,4,Web,CL,23.9,1
5030,2026-02-23,110,Técnico,Alta,5,Marketplace,MX,15.9,5
5031,2026-02-26,109,Devolución,Crítica,1,Marketplace,MX,34.9,3
5032,2026-02-25,101,Cuenta,Baja,2,Web,AR,22.8,2
5033,2026-03-01,102,Técnico,Media,3,Tienda,AR,27.3,1
5034,2026-03-03,100,Producto,Media,4,Marketplace,CL,42.1,1
5035,2026-03-02,102,Devolución,Alta,5,Tienda,CL,17.5,4
5036,2026-03-05,109,Producto,Media,1,Web,AR,20.6,4
5037,2026-03-06,100,Entrega,Baja,2,Marketplace,MX,45.5,3
5038,2026-03-07,108,Facturación,Media,3,Web,CL,50.6,1
5039,2026-03-09,120,Devolución,Media,4,Marketplace,AR,0.7,5
5040,2026-03-12,120,Cuenta,Baja,5,Tienda,AR,63.6,5
5041,2026-03-14,102,Entrega,Crítica,1,Tienda,MX,6.3,2
5042,2026-03-16,102,Producto,Alta,2,Web,CL,34.2,3
5043,2026-03-17,102,Cuenta,Media,3,Web,MX,1.2,1
5044,2026-03-17,107,Producto,Media,4,Marketplace,MX,4.7,
5045,2026-03-20,104,Devolución,Crítica,5,Web,MX,7.9,5
5046,2026-03-21,103,Cuenta,Alta,1,Web,MX,30.8,2
5047,2026-03-23,107,Devolución,Alta,2,Web,CL,45.4,3
5048,2026-03-24,108,Cuenta,Media,3,Web,CL,16.0,5
5049,2026-03-27,100,Producto,Crítica,4,Web,MX,33.7,3
5050,2026-03-28,102,Cuenta,Alta,5,Marketplace,CL,,2
